"algorithm_run","M","ESS","MarLik","Exact_MarLik","Ratio"
1,5,0.937841435041712,6.93845953103564e-24,1.0332716969915e-21,0.00671503879496346
2,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA
